date_id,review_date,year,quarter,month,day
20250805,2025-08-05,2025,3,8,5
20251108,2025-11-08,2025,4,11,8
20251208,2025-12-08,2025,4,12,8
20260107,2026-01-07,2026,1,1,7
20260206,2026-02-06,2026,1,2,6
20260308,2026-03-08,2026,1,3,8
20260407,2026-04-07,2026,2,4,7
20260507,2026-05-07,2026,2,5,7
20260606,2026-06-06,2026,2,6,6
20260706,2026-07-06,2026,3,7,6
20260729,2026-07-29,2026,3,7,29
20260730,2026-07-30,2026,3,7,30
20260731,2026-07-31,2026,3,7,31
20260801,2026-08-01,2026,3,8,1
20260802,2026-08-02,2026,3,8,2
20260803,2026-08-03,2026,3,8,3
20260805,2026-08-05,2026,3,8,5
